Qty,Value,Device,Package,Parts,Description,AVAILABILITY,BUILT_BY,CENTROID_NOT_SPECIFIED,DATASHEET,DESCRIPTION.1,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,LEAD_FREE,MANUFACTURER_PART_NUMBER,MF,MFG_PACKAGE_IDENT,LCSC_PART_NUMBER,LCSC_MANUFACTURER,LCSC_MF_PART_NUMBER,OC_FARNELL,OC_NEWARK,PACKAGE.1,POPULARITY,PREFIX,DIGIKEY_PRICE,LCSC_PRICE,SOURCELIBRARY,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,VENDOR,VOLTAGE,Column1
2,1uF,C-EUC0805,C0805,"C3, C18","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
2,200,R-EU_R0805,R0805,"R9, R18","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
2,22pF,C-EUC0805,C0805,"C13, C14","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
3,330,R-EU_R0805,R0805,"R17, R19, R20","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
3,4k7,R-EU_R0805,R0805,"R4, R5, R7","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
1,7805DT,7805DT,TO252,IC3,Positive VOLTAGE REGULATOR,1126,Texas Instruments,,https://www.ti.com/lit/ds/symlink/lm340.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1602214386688,,IC REG LINEAR 5V 1.5A SOT223-4,296-44517-1-ND,,LM7805MP/NOPB,Texas Instruments,,C725350,HGSEMI,LM7805CS/TR,,,,0,,1.32,0.188967,,,,,,,
1,A1944-50,A1944-50,A1944,X1,BNC CONNECTOR 50 Ohm,,,,,,,,,,,,,,,unknown,unknown,,1,,,,,,,,,,
1,AD9833,AD9833,MSOP10,IC1,LowPower Waveform Generator,318,Analog Devices,,https://datasheet.lcsc.com/szlcsc/1809042016_Analog-Devices-AD9833BRMZ-REEL7_C9652.pdf, Direct Digital Synthesis IC 10 b 25MHz 28 b Tuning 10-MSOP ,10 b 25MHz 28 b 2.3V ~ 5.5V MSOP-10 Interface - Direct Digital Synthesis (DDS) RoHS,AD9833BRMZ-ND,,AD9833BRMZ,Analog Devices,,C9652,Analog Devices,AD9833BRMZ-REEL7,,,MSOP-10 Analog Devices,,,10.04,4.575,,,,,,,
1,DCJ0202,DCJ0202,DCJ0202,J1,DC POWER JACK,1663,Conec,,https://media.digikey.com/pdf/Data%20Sheets/Conec%20PDFs/33DCJ-0202-A.pdf,,"Power Barrel Connector Jack - Through Hole, Right Angle",626-1968-ND,,33DCJ-0202-A,Conec,,,,,unknown,unknown,,17,,0.73,,,,,,,,
1,MAX9939AUB+,MAX9939AUB+,21-0061L,U2,,1516,Maxim Integrated,,https://datasheets.maximintegrated.com/en/ds/MAX9939.pdf,,Programmable Gain Amplifier Circuit Differential 10-uMAX,MAX9939AUB+-ND,,max9939aub+,Maxim Integrated,,C143637,Maxim Integrated,MAX9939AUB+,,,,,,2.35,2.511667,Maxim_2009-12-17_3b,,,,Maxim Integrated Products,,
1,ATMEGA328PB,ATMEGA328PB-AU,ATMEGA328PB-AU,U1,ATmega328PB Summary Datasheet,4879,Microchip Technology,No,http://ww1.microchip.com/downloads/en/DeviceDoc/40001907A.pdf,,IC MCU 8BIT 32KB FLASH 32TQFP,ATMEGA328PB-AU-ND,yes,ATMEGA328PB-AU,Microchip,32A,C132230,Microchip,ATMEGA328PB-AU,,,TQFP32,,U,1.34,1.806667,,,+85°C,-40°C,,5.5V,
1,PCF8574T,PCF8574T,SO16W,IC2,I2C-Bus Remote 8-bit I/O expander,14951,NXP USA Inc.,,https://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf,,I/O Expander 8 I2C 16-SO,568-1077-1-ND - Cut Tape (CT),,"PCF8574T/3,518",NXP USA Inc.,,C398075,HGSEMI,PCF8574T,1201255,70R6870,,3,,1.44,0.718333,,,,,,,
3,U57X32,U57X32,U57X32,"D1, D2, D4",LED,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
